customer_id,name,home_country,avg_transaction_amount,typical_hour_start,typical_hour_end,favorite_category,monthly_transaction_count
CUST_0000,Jeffery Swanson,India,3269.248632597842,8,20,entertainment,19
CUST_0001,Brenda Roman,India,869.7820569206907,8,22,restaurant,32
CUST_0002,Alison Moore,India,352.5568615125612,8,19,entertainment,37
CUST_0003,Martin Palmer,India,3089.6898994399057,9,22,fuel,19
CUST_0004,Elizabeth Fisher,India,2356.203422162497,10,18,travel,32
CUST_0005,George Gibson,India,1833.202479286361,9,19,healthcare,11
CUST_0006,Peter Bowman,India,645.1800482247099,8,20,healthcare,21
CUST_0007,Joshua Shannon,India,4074.215711717025,11,22,restaurant,29
CUST_0008,Edward Browning,India,578.2409507765992,10,22,healthcare,17
CUST_0009,Brandon Joyce,India,3581.9448138316325,8,19,shopping,10
CUST_0010,Martha Branch,India,4305.525060872706,8,21,shopping,34
CUST_0011,Dawn Meyer,India,3251.285332469121,10,19,healthcare,27
CUST_0012,Cassandra Russell,India,1205.633747703141,10,18,online,15
CUST_0013,Margaret Williams,India,2763.871409742598,9,19,electronics,29
CUST_0014,Andrew Weaver Jr.,India,1495.7495685645342,9,20,grocery,19
CUST_0015,Gabriel Frye,India,4144.65245123268,10,21,shopping,9
CUST_0016,Lisa Leon,India,1212.7176492143672,10,19,electronics,30
CUST_0017,Jimmy Romero,India,4446.479138656172,11,19,shopping,13
CUST_0018,Megan Ward,India,1383.8120369311205,10,22,fuel,30
CUST_0019,Mackenzie Brock,India,1937.5829298253325,9,22,electronics,10
CUST_0020,Alexander Warren,India,3827.7543561619414,8,19,travel,32
CUST_0021,Kenneth Simpson,India,3062.7633475134744,11,21,online,34
CUST_0022,Paul Hanson,India,2739.748856475858,8,18,hotel,22
CUST_0023,Stephen Cooper,India,3889.2739167557406,10,18,shopping,32
CUST_0024,Christopher Osborne,India,959.1572208544146,8,20,hotel,16
CUST_0025,Jerry Quinn,India,2636.872038100761,8,20,hotel,17
CUST_0026,Nicole Martinez,India,933.628489038247,9,22,hotel,5
CUST_0027,Michelle David,India,3074.9340054090994,11,18,restaurant,28
CUST_0028,Samantha Martinez,India,4417.865013551284,10,19,grocery,20
CUST_0029,Rachel Hanson DDS,India,4414.446076179394,8,18,electronics,9
CUST_0030,Christopher Jacobs,India,4894.325569651204,9,19,electronics,40
CUST_0031,Nicole Hernandez,India,992.6094030758128,11,19,hotel,17
CUST_0032,Mary Kim,India,3622.1550695317846,11,20,electronics,38
CUST_0033,Jeffrey Parsons,India,2367.1334786774228,9,19,restaurant,26
CUST_0034,Michael Farley,India,300.9644480338826,9,22,entertainment,5
CUST_0035,Ashley Bell,India,540.7668128433561,8,19,restaurant,7
CUST_0036,Debra Young,India,4326.249921217984,8,22,entertainment,22
CUST_0037,Noah Wilson,India,3411.093335822147,9,22,travel,35
CUST_0038,Travis Wells,India,1366.3867634994776,11,21,entertainment,11
CUST_0039,Dave Stone,India,665.267908298352,11,20,fuel,31
CUST_0040,Tracy Brown,India,2441.71840657604,8,18,grocery,30
CUST_0041,Richard Stephens,India,3695.4252245176767,8,19,entertainment,17
CUST_0042,Monica Mitchell,India,2774.171618769653,9,21,travel,22
CUST_0043,Beth Robbins,India,2420.6147283246432,8,21,hotel,11
CUST_0044,Kenneth Lopez,India,442.8239817194299,8,18,entertainment,15
CUST_0045,Teresa White,India,2150.7874781718656,11,19,fuel,8
CUST_0046,John Small,India,990.258182727329,8,21,shopping,34
CUST_0047,Gabrielle Weber,India,1569.1962989452174,11,19,entertainment,23
CUST_0048,Felicia Adams,India,1244.9643123880398,8,22,hotel,8
CUST_0049,Kevin Smith,India,3790.2826898195076,8,18,online,35
CUST_0050,Christine Jenkins,India,2613.681838013665,9,18,hotel,10
CUST_0051,Elizabeth Horton,India,4286.444217651783,8,22,restaurant,20
CUST_0052,Chelsea Simmons,India,2138.1226463277317,9,22,online,7
CUST_0053,Kenneth Patterson,India,3173.031249594095,11,22,online,38
CUST_0054,Nathan Decker,India,1718.5752606882902,10,19,healthcare,20
CUST_0055,Tiffany Bailey,India,1474.9496601504984,9,20,electronics,25
CUST_0056,Tina Pena,India,4659.287992186468,8,18,electronics,11
CUST_0057,Keith Johnson,India,551.6514612782385,9,22,shopping,13
CUST_0058,Cheryl Ortiz,India,4679.645014369804,8,19,healthcare,23
CUST_0059,Kathryn Owens,India,957.1847953147135,10,22,hotel,5
CUST_0060,Lisa Harris,India,3405.7433778204013,10,18,travel,21
CUST_0061,Alan Odom,India,754.0576180116906,8,22,travel,22
CUST_0062,Ashley Alexander,India,1552.4301029978926,9,20,entertainment,21
CUST_0063,Andrea Nash,India,2625.9634788703383,10,18,restaurant,32
